20150430091129 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2015-04-30T09:29:09Z        1480         568          484        0.4(0.46)       4(3)             1             0        98348        173056            1         568         568
2015-04-30T09:29:29Z        1489         568          493       0.45(0.46)       4(3)             1             1       108253        173056            1         568         568
2015-04-30T09:29:49Z        1489         559          502       0.45(0.46)       2(3)             1             0       113166        173056            1         559         559
2015-04-30T09:30:09Z        1489         550          511       0.45(0.46)       2(3)             1             0       118123        173056            1         550         550
2015-04-30T09:30:29Z        1489         541          520       0.45(0.46)       0(3)             1             0       119313        173056            1         541         541
2015-04-30T09:30:49Z        1502         543          530        0.5(0.46)       4(3)             1             0       124447        173056            1         543         543
2015-04-30T09:31:09Z        1509         544          535       0.25(0.45)       2(3)             1             0       128384        173056            1         544         544
2015-04-30T09:31:29Z        1519         548          541        0.3(0.45)       3(3)             1             0       133695        173056            1         548         548
2015-04-30T09:31:49Z        1538         551          550       0.45(0.45)       6(3)             1             0        25653        244736            1         551         551
2015-04-30T09:32:09Z        1538         541          560        0.5(0.45)       5(3)             1             0        27271        244736            1         541         541
2015-04-30T09:32:29Z        1538         532          569       0.45(0.45)       0(3)             1             0        28733        244736            1         532         532
2015-04-30T09:32:49Z        1543         526          579        0.5(0.45)       1(3)             1             0        31566        244736            1         526         526
2015-04-30T09:33:09Z        1549         523          588       0.45(0.45)       2(3)             1             0        35655        244736            1         523         523
2015-04-30T09:33:29Z        1559         523          598        0.5(0.45)       3(3)             1             0        41486        244736            1         523         523
2015-04-30T09:33:49Z        1563         518          607       0.45(0.45)       2(3)             1             0        45710        244736            1         518         518
2015-04-30T09:34:09Z        1587         523          615        0.4(0.45)       6(3)             1             0        55578        244736            1         523         523
2015-04-30T09:34:29Z        1594         521          624       0.45(0.45)       2(3)             1             0        59712        244736            1         521         521
2015-04-30T09:34:49Z        1597         514          634        0.5(0.45)       3(3)             1             0        62499        244736            1         514         514
2015-04-30T09:35:09Z        1610         517          643       0.45(0.45)       3(3)             1             0        68263        244736            1         517         517
2015-04-30T09:35:29Z        1615         512          653        0.5(0.45)       1(3)             1             0        70854        244736            1         512         512
2015-04-30T09:35:49Z        1623         510          662       0.45(0.45)       3(3)             1             0        76272        244736            1         510         510
